date,AMD,AMG,EQIX,JKHY,NEM,portfolio_value
2015-04-06 00:00:00+00:00,2.7,215.14,235.15,70.09,22.58,821.2242026
2015-04-07 00:00:00+00:00,2.7,214.17,234.29,69.33,22.17,815.761913
2015-04-08 00:00:00+00:00,2.71,215.74,239.09,69.07,22.08,820.6504202
2015-04-09 00:00:00+00:00,2.72,218.7,240.06,68.42,22.23,828.3825195
2015-04-10 00:00:00+00:00,2.76,217.7,239.65,68.03,22.33,825.8019387
2015-04-13 00:00:00+00:00,2.78,219.1,239.77,68.15,22.57,830.6744357
2015-04-14 00:00:00+00:00,2.67,219.86,241.49,68.41,22.82,834.1017874
2015-04-15 00:00:00+00:00,2.7,219.51,241.19,67.62,23.55,835.360206
2015-04-16 00:00:00+00:00,2.87,219.93,241.56,67.33,23.62,837.2016984
2015-04-17 00:00:00+00:00,2.575,218.02,236.14,66.69,23.57,828.3121198
2015-04-20 00:00:00+00:00,2.49,220,239.87,67.1,23.52,834.5159877
2015-04-21 00:00:00+00:00,2.35,220.24,243.78,67.7,23.51,836.5154406
2015-04-22 00:00:00+00:00,2.28,221.04,244.78,68.03,22.77,835.840911
2015-04-23 00:00:00+00:00,2.33,222.18,246.925,68.14,23.45,842.6971717
2015-04-24 00:00:00+00:00,2.3,222.35,246.065,67.45,24.98,848.3915949
2015-04-27 00:00:00+00:00,2.34,222.69,244.85,67.25,25.59,851.3884702
2015-04-28 00:00:00+00:00,2.31,228.02,246.38,67.95,26.35,869.4881525
2015-04-29 00:00:00+00:00,2.28,225.4,244.8,67.46,26.48,862.1018443
2015-04-30 00:00:00+00:00,2.26,226.13,255.93,66.51,26.49,866.3232848
2015-05-01 00:00:00+00:00,2.31,226.45,258.88,66.96,26.49,868.8710674
2015-05-04 00:00:00+00:00,2.31,226.79,259.13,67.2,26.05,868.2429112
2015-05-05 00:00:00+00:00,2.28,223.71,257.18,66.28,25.95,858.0388869
2015-05-06 00:00:00+00:00,2.29,220.92,258.28,67.09,25.65,851.0548994
2015-05-07 00:00:00+00:00,2.32,221.54,262,66,25.82,853.3185623
2015-05-08 00:00:00+00:00,2.31,223.47,267.93,65.08,26.04,859.8991367
2015-05-11 00:00:00+00:00,2.32,223.04,263.42,65.15,26.36,858.8411526
