,return,decile_rank,fip_scores_mid2
MKTX,0.5217027645712276,9,-0.2510822510822511
GPN,0.5290772613541588,9,-0.23809523809523803
INFO,0.5078328981723221,9,-0.22943722943722944
MA,0.45940436092891423,9,-0.2251082251082251
EFX,0.4173936750272613,9,-0.2207792207792208
