date,AAP,ICE,K,REGN,XLNX,portfolio_value,port_val_chg_1_days,port_val_chg_5_days,port_val_chg_5_days_bin
2015-05-15 00:00:00+00:00,151.62,238.77,65.23,489.01,45.7,1208.9487862147944,0.0013472207329765507,0.018840943691805112,1
2015-05-18 00:00:00+00:00,151.88,237.68,64.64,496.74,46.605,1210.575260882188,0.0013453627531123669,0.017659372324714706,1
2015-05-19 00:00:00+00:00,152.94,237.85,64.19,504.15,46.68,1214.167969530238,0.002967769757191041,0.01905671131891129,1
2015-05-20 00:00:00+00:00,149.9,235.76,64.23,512.77,46.97,1209.7114406328624,-0.003670438530098852,0.01260827900719752,1
2015-05-21 00:00:00+00:00,157.5,235.35,63.96,516.0,46.83,1219.7200493494927,0.008273550518290707,0.010268834722501952,1
2015-05-22 00:00:00+00:00,160.2,236.87,63.68,513.88,46.94,1225.3283485990187,0.004598021695648047,0.013548599056464994,1
2015-05-26 00:00:00+00:00,158.0,233.68,63.0,506.63,46.55,1209.7694287604775,-0.012697755549629264,-0.0006656604903055863,0
2015-05-27 00:00:00+00:00,157.22,234.68,63.24,515.37,47.665,1217.646583507654,0.006511286002033767,0.0028650187327556864,1
2015-05-28 00:00:00+00:00,156.35,236.44,62.56,512.12,47.8,1217.1434581397173,-0.0004131949079078101,0.006143628354020381,1
2015-05-29 00:00:00+00:00,153.22,236.78,62.77,512.56,47.42,1213.2623391129634,-0.003188711240896591,-0.005294420010537038,0
2015-06-01 00:00:00+00:00,153.32,235.54,62.55,513.81,48.33,1212.9367625486868,-0.0002683480347001055,-0.010112869798939883,0
2015-06-02 00:00:00+00:00,155.36,235.9,62.17,508.9,47.78,1212.163589791873,-0.0006374386371053031,0.001979022592634383,1
2015-06-03 00:00:00+00:00,156.53,234.24,62.27,514.22,47.37,1211.7013765520562,-0.00038131259155871344,-0.004882539019221421,0
2015-06-04 00:00:00+00:00,156.6,235.28,62.26,518.62,47.21,1215.2459757737638,0.002925307580151415,-0.0015589636153929831,0
2015-06-05 00:00:00+00:00,157.39,236.55,61.45,539.4,47.29,1224.8933502817863,0.007938618765538363,0.009586559142127804,1
2015-06-08 00:00:00+00:00,157.31,235.57,61.31,526.09,46.33,1214.7475815815521,-0.0082829812880445,0.0014929212212682064,1
2015-06-09 00:00:00+00:00,157.42,236.88,61.51,526.09,46.45,1218.5217623568976,0.0031069671037595725,0.005245308981864705,1
2015-06-10 00:00:00+00:00,160.27,240.47,62.05,512.32,47.0,1227.6468903838718,0.007488686955679835,0.013159606929876722,1
2015-06-11 00:00:00+00:00,160.53,242.0,62.22,501.1,47.22,1227.890408213576,0.0001983614601328565,0.010404833829432247,1
2015-06-12 00:00:00+00:00,161.21,238.55,62.13,492.29,46.65,1216.5524631394724,-0.009233678346424079,-0.006809480303240356,0
2015-06-15 00:00:00+00:00,158.32,237.31,61.69,499.06,46.31,1210.3621280745156,-0.005088424258319124,-0.003610176775430851,0
2015-06-16 00:00:00+00:00,159.05,234.4,62.47,501.76,46.8,1209.9198262278812,-0.00036542935074967975,-0.007059320887612408,0
2015-06-17 00:00:00+00:00,158.99,234.31,62.82,512.89,46.63,1214.5840663302688,0.0038549993158878415,-0.01064053854241298,0
2015-06-18 00:00:00+00:00,160.25,233.75,63.1,527.97,47.16,1223.2194083801508,0.007109711290691267,-0.003804085284957015,0
2015-06-19 00:00:00+00:00,160.5,229.38,63.34,522.28,46.3,1210.8203566418604,-0.01013640860613052,-0.004711762682901077,0
2015-06-22 00:00:00+00:00,163.26,230.89,63.4,520.71,46.55,1218.0620931110177,0.005980851271151222,0.006361703541362118,1
2015-06-23 00:00:00+00:00,163.89,229.86,63.47,521.05,46.11,1216.047024574238,-0.0016543233289798565,0.005064135832420824,1
2015-06-24 00:00:00+00:00,163.42,228.06,63.41,516.59,45.75,1208.8221997828389,-0.005941237999351867,-0.004743900984012339,0
2015-06-25 00:00:00+00:00,164.2,227.73,62.87,519.24,45.68,1208.4980234140378,-0.0002681753932541886,-0.012034950447367243,0
2015-06-26 00:00:00+00:00,164.28,226.16,63.05,520.63,44.8,1204.2123538314156,-0.003546277693127764,-0.005457459295424849,0
2015-06-29 00:00:00+00:00,158.93,222.29,62.6,504.97,43.97,1179.0885914504713,-0.02086323255280398,-0.031996317659804374,0
2015-06-30 00:00:00+00:00,159.29,223.61,62.7,510.13,44.16,1185.1233601189485,0.0051181639040824844,-0.025429661707462747,0
2015-07-01 00:00:00+00:00,162.65,225.74,63.01,506.51,44.1,1193.6704801110789,0.007212008707070394,-0.01253428310175142,0
2015-07-02 00:00:00+00:00,162.11,227.04,63.14,511.08,43.84,1197.1226313926463,0.0028920471261433267,-0.009412834610399878,0
2015-07-06 00:00:00+00:00,163.42,224.37,62.74,512.24,43.44,1191.6857343706736,-0.004541637489258621,-0.010402334290033122,0
2015-07-07 00:00:00+00:00,163.53,227.23,64.12,517.61,43.62,1204.4124721291525,0.010679609054143668,0.02147750462713649,1
2015-07-08 00:00:00+00:00,159.99,221.86,63.68,509.3,42.655,1181.277020345643,-0.019208910833188986,-0.0032455184858726227,0
2015-07-09 00:00:00+00:00,162.07,224.43,63.59,509.03,41.85,1187.1836913733193,0.005000242048176062,-0.00543432115130793,0
2015-07-10 00:00:00+00:00,164.11,229.47,63.75,526.01,41.94,1207.8622783282194,0.017418186507413447,0.008971217028183043,1
2015-07-13 00:00:00+00:00,169.31,229.0,64.18,536.21,42.52,1220.9315699133238,0.01082018357522796,0.02454156720949152,1
2015-07-14 00:00:00+00:00,167.21,227.99,64.12,542.9,42.88,1219.1826288096704,-0.0014324644777409246,0.012263370749065139,1
2015-07-15 00:00:00+00:00,168.47,228.92,63.68,543.38,42.64,1221.1867427125248,0.0016438176328112952,0.03378523553704982,1
2015-07-16 00:00:00+00:00,169.36,232.32,64.5,551.53,42.28,1234.2149992371642,0.010668521094243655,0.03961586417131424,1
2015-07-17 00:00:00+00:00,169.7,231.72,64.35,551.98,42.66,1234.1301685431513,-6.873250938077557e-05,0.021747421611086892,1
2015-07-20 00:00:00+00:00,168.69,231.51,64.14,561.17,42.25,1234.1898107508316,4.8327323324937055e-05,0.010859118696102676,1
2015-07-21 00:00:00+00:00,167.53,231.7,64.02,560.0,41.65,1230.631962071753,-0.0028827402787535705,0.009390991137448346,1
2015-07-22 00:00:00+00:00,168.22,233.29,64.39,556.53,41.07,1233.210441630878,0.002095248326546173,0.00984591340358465,1
2015-07-23 00:00:00+00:00,168.39,229.84,64.33,556.61,41.28,1226.648978545247,-0.005320635362893622,-0.0061302290902262024,0
2015-07-24 00:00:00+00:00,168.31,229.01,64.54,541.85,40.24,1217.0859003582646,-0.007796100069576428,-0.013810754018765192,0
2015-07-27 00:00:00+00:00,168.34,226.5,64.68,540.03,40.06,1211.1589989285037,-0.0048697478362177415,-0.018660672468456707,0
2015-07-28 00:00:00+00:00,170.3,226.35,65.05,552.45,41.19,1222.372349808152,0.009258364004700148,-0.006711683523720646,0
2015-07-29 00:00:00+00:00,173.06,227.71,65.43,546.27,41.54,1228.705608040305,0.005181120329780908,-0.003652931761278011,0
2015-07-30 00:00:00+00:00,172.54,229.05,66.09,547.1,41.67,1233.3581583513253,0.003786546004653557,0.00546951892792924,1
2015-07-31 00:00:00+00:00,174.21,228.04,66.17,553.66,41.75,1236.6063783689626,0.0026336388952739043,0.016038701956001544,1
2015-08-03 00:00:00+00:00,173.81,229.88,66.07,554.27,41.9,1240.1876596978154,0.00289605600577314,0.023967671292532966,1
2015-08-04 00:00:00+00:00,175.1,230.65,67.5,580.94,41.67,1257.636819876287,0.014069774071710395,0.02884920464183427,1
2015-08-05 00:00:00+00:00,175.27,237.54,68.66,592.4,42.71,1282.708187221324,0.019935300039563897,0.043950787582998974,1
2015-08-06 00:00:00+00:00,172.74,237.0,68.86,582.47,42.88,1275.159705650846,-0.005884800335476004,0.03389246425823167,1
2015-08-07 00:00:00+00:00,173.75,237.25,68.92,579.04,43.2,1276.754234915389,0.0012504545567717518,0.03246615677284459,1
2015-08-10 00:00:00+00:00,173.66,240.41,69.0,581.0,44.13,1286.5317671441487,0.007658116152172267,0.0373686248882894,1
2015-08-11 00:00:00+00:00,171.92,236.9,69.2,566.99,43.18,1269.5282909921448,-0.013216522581287138,0.009455409485408905,1
2015-08-12 00:00:00+00:00,172.0,236.18,68.9,579.25,43.57,1272.9993880402299,0.002734162816783181,-0.0075689851189971735,0
2015-08-13 00:00:00+00:00,187.79,237.71,68.89,574.1,43.15,1295.4451509203384,0.017632186700940577,0.015908160506952873,1
2015-08-14 00:00:00+00:00,187.03,240.65,69.77,576.3,43.45,1304.6972513000921,0.00714202401636288,0.02188597900875977,1
2015-08-17 00:00:00+00:00,184.69,241.0,69.6,576.76,43.93,1302.9926247885846,-0.0013065303156030161,0.012794754132636532,1
2015-08-18 00:00:00+00:00,185.77,244.05,69.3,569.67,42.96,1304.7977743429863,0.001385387392115467,0.02778156548467159,1
2015-08-19 00:00:00+00:00,187.84,243.98,68.95,568.91,42.5,1305.0995781132026,0.000231303100105551,0.025216186570514054,1
2015-08-20 00:00:00+00:00,184.45,244.29,68.72,546.65,41.26,1288.5080945010834,-0.012712810493821225,-0.005354959578432683,0
2015-08-21 00:00:00+00:00,177.54,236.71,67.46,527.18,40.4,1249.5032596724295,-0.03027131532592875,-0.042304060633732044,0
2015-08-24 00:00:00+00:00,173.75,224.93,65.74,504.58,39.45,1203.3687455114637,-0.03692228395871533,-0.07645774610066214,0
2015-08-25 00:00:00+00:00,171.22,222.52,65.1,499.02,38.78,1189.040805875703,-0.01190652465356401,-0.08871640551776017,0
2015-08-26 00:00:00+00:00,171.46,229.34,66.93,535.47,41.24,1229.317817884758,0.03387353218663658,-0.05806588363012366,0
2015-08-27 00:00:00+00:00,176.23,231.97,67.36,538.0,42.26,1246.3509812438951,0.013855784981987362,-0.03271777138001741,0
2015-08-28 00:00:00+00:00,176.48,232.41,67.04,536.7,42.27,1246.1943735758407,-0.00012565294239841318,-0.0026481612360549356,0
2015-08-31 00:00:00+00:00,175.25,228.41,66.28,513.5,41.89,1223.908862452518,-0.017882853265800303,0.01706884694958921,1
2015-09-01 00:00:00+00:00,172.62,224.52,65.71,496.42,40.31,1199.8079428296828,-0.019691760033946237,0.009055313241373542,1
2015-09-02 00:00:00+00:00,175.25,226.51,66.74,518.78,40.84,1220.7375684940212,0.017444146614813194,-0.006979683582151619,0
2015-09-03 00:00:00+00:00,173.24,228.91,67.33,508.51,41.19,1221.5161152763026,0.0006377675287259077,-0.01992606123100782,0
2015-09-04 00:00:00+00:00,172.13,226.79,66.58,499.99,40.07,1207.1985700595478,-0.011721126751992328,-0.03129191107194462,0
2015-09-08 00:00:00+00:00,175.32,234.51,67.52,542.76,42.76,1253.926106518236,0.0387074153479019,0.02452571836563755,1
2015-09-09 00:00:00+00:00,174.92,231.19,66.16,527.35,41.59,1233.5081337868146,-0.016283234414917747,0.028087987880503373,1
2015-09-10 00:00:00+00:00,174.88,235.14,66.35,531.22,41.77,1244.1909101368276,0.008660483102950645,0.019212435373591408,1
2015-09-11 00:00:00+00:00,174.84,236.23,66.99,533.3,41.93,1249.50432717552,0.0042705801781723896,0.022912683303311754,1
2015-09-14 00:00:00+00:00,175.0,233.55,66.73,531.4,42.83,1244.8980767986388,-0.0036864621247799656,0.031228919312944026,1
2015-09-15 00:00:00+00:00,176.85,233.5,67.46,541.45,43.15,1254.2785188279001,0.007535108459147066,0.0002810471110157309,1
2015-09-16 00:00:00+00:00,178.59,233.44,68.39,540.99,43.37,1259.7367622690927,0.004351699689709276,0.021263441856485654,1
2015-09-17 00:00:00+00:00,178.28,230.2,68.87,550.97,43.09,1257.1518518825317,-0.00205194486974003,0.01041716479368815,1
2015-09-18 00:00:00+00:00,173.7,228.26,67.45,550.36,42.63,1241.046220604622,-0.012811205944446735,-0.0067691694914073786,0
2015-09-21 00:00:00+00:00,174.75,231.65,67.66,529.38,42.36,1241.375989103208,0.0002657181441843015,-0.00282921771755662,0
2015-09-22 00:00:00+00:00,174.44,226.46,67.03,530.18,41.77,1227.1054489503972,-0.011495743657101043,-0.02166430299938138,0
